link_stats_id, link_id, timestamp, PacketsReceived, PacketsSent, BytesReceived, BytesSent, PacketsRxDropped, PacketsTxDropped, PacketsRxErrors, PacketsTxErrors
of:000000000000001c_3_2024-08-05 14:10:42,of:000000000000001c_3,2024-08-05 14:10:42,1415284.0,2301373.0,134267880.0,258114430.0,0.0,0.0,0.0,0.0
of:000000000000001f_1_2024-08-05 14:10:42,of:000000000000001f_1,2024-08-05 14:10:42,3715226.0,3713560.0,391426544.0,392240072.0,0.0,0.0,0.0,0.0
of:000000000000001f_2_2024-08-05 14:10:42,of:000000000000001f_2,2024-08-05 14:10:42,1415271.0,2300882.0,134281866.0,258095152.0,0.0,0.0,0.0,0.0
of:000000000000001f_3_2024-08-05 14:10:42,of:000000000000001f_3,2024-08-05 14:10:42,1414850.0,2300496.0,134247916.0,258063792.0,0.0,0.0,0.0,0.0
of:0000000000000021_1_2024-08-05 14:10:42,of:0000000000000021_1,2024-08-05 14:10:42,3715653.0,3713963.0,391444422.0,392257446.0,0.0,0.0,0.0,0.0
of:0000000000000021_2_2024-08-05 14:10:42,of:0000000000000021_2,2024-08-05 14:10:42,1415240.0,2300878.0,134280844.0,258095628.0,0.0,0.0,0.0,0.0
of:0000000000000021_3_2024-08-05 14:10:42,of:0000000000000021_3,2024-08-05 14:10:42,1415276.0,2300920.0,134265808.0,258082160.0,0.0,0.0,0.0,0.0
of:0000000000000022_1_2024-08-05 14:10:42,of:0000000000000022_1,2024-08-05 14:10:42,3714979.0,3713321.0,391413846.0,392228606.0,0.0,0.0,0.0,0.0
of:0000000000000022_2_2024-08-05 14:10:42,of:0000000000000022_2,2024-08-05 14:10:42,1415152.0,2300758.0,134275944.0,258088796.0,0.0,0.0,0.0,0.0
of:0000000000000022_3_2024-08-05 14:10:42,of:0000000000000022_3,2024-08-05 14:10:42,1414722.0,2300371.0,134241812.0,258057590.0,0.0,0.0,0.0,0.0
of:0000000000000020_1_2024-08-05 14:10:42,of:0000000000000020_1,2024-08-05 14:10:42,3715074.0,3713402.0,391420160.0,392232960.0,0.0,0.0,0.0,0.0
of:0000000000000020_2_2024-08-05 14:10:42,of:0000000000000020_2,2024-08-05 14:10:42,1414941.0,2300568.0,134267670.0,258081824.0,0.0,0.0,0.0,0.0
of:0000000000000020_3_2024-08-05 14:10:42,of:0000000000000020_3,2024-08-05 14:10:42,1415017.0,2300661.0,134254650.0,258070862.0,0.0,0.0,0.0,0.0
of:0000000000000025_1_2024-08-05 14:10:42,of:0000000000000025_1,2024-08-05 14:10:42,3715161.0,3713198.0,391427942.0,392222152.0,0.0,0.0,0.0,0.0
of:0000000000000025_2_2024-08-05 14:10:42,of:0000000000000025_2,2024-08-05 14:10:42,1415233.0,2301116.0,134278926.0,258110188.0,0.0,0.0,0.0,0.0
of:0000000000000025_3_2024-08-05 14:10:42,of:0000000000000025_3,2024-08-05 14:10:42,1414521.0,2300427.0,134232586.0,258065598.0,0.0,0.0,0.0,0.0
of:0000000000000003_1_2024-08-05 14:10:42,of:0000000000000003_1,2024-08-05 14:10:42,40542101.0,40522687.0,3947886441.0,3919523243.0,0.0,0.0,0.0,0.0
of:0000000000000003_2_2024-08-05 14:10:42,of:0000000000000003_2,2024-08-05 14:10:42,33353514.0,33355284.0,3224493384.0,3225884030.0,0.0,0.0,0.0,0.0
of:0000000000000003_3_2024-08-05 14:10:42,of:0000000000000003_3,2024-08-05 14:10:42,27690937.0,27710293.0,2689765435.0,2716803303.0,0.0,0.0,0.0,0.0
of:0000000000000003_4_2024-08-05 14:10:42,of:0000000000000003_4,2024-08-05 14:10:42,3713559.0,3715225.0,392239974.0,391426446.0,0.0,0.0,0.0,0.0
of:0000000000000003_5_2024-08-05 14:10:42,of:0000000000000003_5,2024-08-05 14:10:42,3713401.0,3715073.0,392232862.0,391420062.0,0.0,0.0,0.0,0.0
of:0000000000000003_6_2024-08-05 14:10:42,of:0000000000000003_6,2024-08-05 14:10:42,3713962.0,3715652.0,392257348.0,391444324.0,0.0,0.0,0.0,0.0
of:0000000000000003_7_2024-08-05 14:10:42,of:0000000000000003_7,2024-08-05 14:10:42,3713320.0,3714978.0,392228508.0,391413748.0,0.0,0.0,0.0,0.0
of:0000000000000003_8_2024-08-05 14:10:42,of:0000000000000003_8,2024-08-05 14:10:42,3714176.0,3715847.0,392266140.0,391450666.0,0.0,0.0,0.0,0.0
of:0000000000000026_1_2024-08-05 14:10:42,of:0000000000000026_1,2024-08-05 14:10:42,3715263.0,3713322.0,391432646.0,392225344.0,0.0,0.0,0.0,0.0
of:0000000000000026_2_2024-08-05 14:10:42,of:0000000000000026_2,2024-08-05 14:10:42,1414952.0,2300827.0,134266144.0,258097518.0,0.0,0.0,0.0,0.0
of:0000000000000026_3_2024-08-05 14:10:42,of:0000000000000026_3,2024-08-05 14:10:42,1414927.0,2300819.0,134248770.0,258082762.0,0.0,0.0,0.0,0.0
of:0000000000000004_1_2024-08-05 14:10:42,of:0000000000000004_1,2024-08-05 14:10:42,33355292.0,33353522.0,3225884814.0,3224494168.0,0.0,0.0,0.0,0.0
of:0000000000000004_2_2024-08-05 14:10:42,of:0000000000000004_2,2024-08-05 14:10:42,17873408.0,17888809.0,1751399847.0,1771735586.0,0.0,0.0,0.0,0.0
of:0000000000000004_3_2024-08-05 14:10:42,of:0000000000000004_3,2024-08-05 14:10:42,3713687.0,3715648.0,392242886.0,391449320.0,0.0,0.0,0.0,0.0
of:0000000000000004_4_2024-08-05 14:10:42,of:0000000000000004_4,2024-08-05 14:10:42,3713198.0,3715161.0,392222152.0,391427942.0,0.0,0.0,0.0,0.0
of:0000000000000004_5_2024-08-05 14:10:42,of:0000000000000004_5,2024-08-05 14:10:42,3713323.0,3715264.0,392225442.0,391432744.0,0.0,0.0,0.0,0.0
of:0000000000000004_6_2024-08-05 14:10:42,of:0000000000000004_6,2024-08-05 14:10:42,3726489.0,3715686.0,411155292.0,391458211.0,0.0,0.0,0.0,0.0
of:0000000000000004_7_2024-08-05 14:10:42,of:0000000000000004_7,2024-08-05 14:10:42,7877478.0,7879376.0,791499016.0,790701600.0,0.0,0.0,0.0,0.0
of:0000000000000001_1_2024-08-05 14:10:42,of:0000000000000001_1,2024-08-05 14:10:42,30607787.0,30606778.0,2959625929.0,2959578437.0,0.0,0.0,0.0,0.0
of:0000000000000001_2_2024-08-05 14:10:42,of:0000000000000001_2,2024-08-05 14:10:42,16455764.0,16457520.0,1616983536.0,1617066296.0,0.0,0.0,0.0,0.0
of:0000000000000001_3_2024-08-05 14:10:42,of:0000000000000001_3,2024-08-05 14:10:42,3715160.0,3717253.0,392333480.0,391549098.0,0.0,0.0,0.0,0.0
of:0000000000000001_4_2024-08-05 14:10:42,of:0000000000000001_4,2024-08-05 14:10:42,3714789.0,3716884.0,392316526.0,391532592.0,0.0,0.0,0.0,0.0
of:0000000000000001_5_2024-08-05 14:10:42,of:0000000000000001_5,2024-08-05 14:10:42,3715209.0,3717303.0,392334530.0,391548398.0,0.0,0.0,0.0,0.0
of:0000000000000001_6_2024-08-05 14:10:42,of:0000000000000001_6,2024-08-05 14:10:42,3714466.0,3716604.0,392282464.0,391501008.0,0.0,0.0,0.0,0.0
of:0000000000000001_7_2024-08-05 14:10:42,of:0000000000000001_7,2024-08-05 14:10:42,3726637.0,3728792.0,409865996.0,409086568.0,0.0,0.0,0.0,0.0
of:0000000000000023_1_2024-08-05 14:10:42,of:0000000000000023_1,2024-08-05 14:10:42,3715847.0,3714176.0,391450666.0,392266140.0,0.0,0.0,0.0,0.0
of:0000000000000023_2_2024-08-05 14:10:42,of:0000000000000023_2,2024-08-05 14:10:42,1415526.0,2301151.0,134292212.0,258106170.0,0.0,0.0,0.0,0.0
of:0000000000000023_3_2024-08-05 14:10:42,of:0000000000000023_3,2024-08-05 14:10:42,1415203.0,2300851.0,134263078.0,258079206.0,0.0,0.0,0.0,0.0
